run_name,description,wrapper_config_path,suite_run_dir,runtime_seconds,error,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,status,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,loss
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,SVM,SVM,success,0.5625552146365292,0.5581351688260743,0.5347511493454911,0.5450687704797285,0.7514375871106918,0.9569566635919664
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,LightGBM,LightGBM,success,0.5569092287743196,0.5524115133907318,0.5267759327087471,0.5398028457850659,0.7603622373445416,0.9447564044328636
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,MLP,MLP,success,0.551308659637754,0.5434820328437797,0.5213747580409045,0.5328702469588186,0.7459025227592485,1.0009707248609423
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,GazeMAE_MLP,GazeMAE_MLP,success,0.5391990041437951,0.5393854070678574,0.5203498099996031,0.5255485610254359,0.7164164968003915,1.1285958406749812
BasicGCN_attention,"Homogeneous GCN baseline over the v2 graph schema with collapsed, deduplicated relations, no edge attributes, and attention readout.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/BasicGCN_attention.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_11-46-08,7320.955,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,BasicGCN_attention,GNN,success,0.5126234316190935,0.4988112719189098,0.4541746104961854,0.4698968261455616,0.7095826770066156,1.0129558186639438
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,success,0.5676968009725193,0.4974280954016787,0.4725454550397417,0.5423706429414925,0.7221997998764214,0.9337043830366142
GNN_v2,Current v2 GNN with split temporal edges and learned signed edge attributes.,results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/GNN_v2.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_13-48-09,8573.95,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,GNN_v2,GNN,success,0.5041431198933048,0.4940915938763584,0.4483711366683844,0.461388423500241,0.708993809398256,1.0197849869728088
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,success,0.5638180924680463,0.4922059349513294,0.4668476317579886,0.5351097644993594,0.707458711615677,0.9505055827163448
BasicGCN_mean,"Homogeneous GCN baseline over the v2 graph schema with collapsed, deduplicated relations, no edge attributes, and mean readout.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/BasicGCN_mean.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,7623.431,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,BasicGCN_mean,GNN,success,0.4927793495077104,0.4879888765899181,0.4363485710972449,0.4459636090731289,0.7119628082952973,1.022060803391717
Baselines,"Baselines on the same quick subset and folds: LightGBM, SVM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-06-03_09-24-45/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48,857.405,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,success,0.5517680649228465,0.4607949995972338,0.4302528831406054,0.5118247517118228,0.681580803882708,1.113519550239341
