subject,0,1,2,3,4,5,6,11,12
P1,22884,0,7165,6517,26114,25558,12333,33790,6393
P10,37886,0,11838,6355,11372,16254,8600,36695,6351
P12,49601,0,16675,0,11827,8555,0,35787,6085
P13,37118,0,10953,4154,18818,24264,7739,32553,7012
P14,39987,9240,9662,9130,27632,13579,0,21589,0
P16,36030,0,10142,0,6993,24850,0,22590,12072
P17,21249,6365,21729,19192,18704,15411,7053,31978,0
P18,52198,6015,5284,0,11799,8489,5797,34680,9985
P19,41119,0,7327,15946,18904,8920,6177,23776,12444
P2,20030,13813,19733,4363,0,28964,8014,37985,9166
P20,27022,0,11095,9401,21383,15936,8530,34023,5757
P21,26016,0,12064,16361,17197,24771,8678,30005,0
P22,27781,0,11100,8742,15269,14658,5565,32083,7957
P23,20305,0,11601,6959,11442,33142,4204,45616,8064
P24,42762,0,13895,6119,20498,18166,3813,29281,7497
P27,26175,7944,5118,9340,12568,25428,0,41234,7272
P28,27012,5889,16612,0,16191,22944,3735,28450,5790
P29,27210,0,28704,0,4313,23186,0,34254,9643
P30,37824,5969,16956,0,31009,17020,0,19850,6369
P4,33612,7696,21842,0,28563,8428,16608,24170,11109
P5,6847,7464,0,13063,54672,31613,23125,16813,8990
P7,28388,0,17848,31153,11294,24896,0,7838,14572
P8,25082,8373,10090,10820,34055,22608,12754,7658,0
P9,12521,0,16346,0,18570,15655,14096,6740,5910
